No.,country,temperature,yield loss
1,USA,22,98.71552
2,Mexico,22,45.04905
3,India,22,15.08669
4,China,22,53.43081
5,Brazil,22,47.38279
6,Belgium,22,74.53183
25,Ghana,22,20.52625
26,USA,22.5,93.06045
27,Mexico,22.5,38.1029
28,India,22.5,95.8756
29,China,22.5,21.91162
30,Brazil,22.5,10.35691
7,Belgium,22.5,82.84287
8,Ghana,22.5,58.05342
9,USA,22.8,82.12945
10,Mexico,22.8,59.49419
11,India,22.8,52.54273
12,China,22.8,30.7698
19,Brazil,22.8,87.43939
20,Belgium,22.8,23.19262
21,Ghana,22.8,21.55912
22,USA,23.34,89.91849
23,Mexico,23.34,52.6783
24,India,23.34,37.26915
13,China,23.34,77.21327
14,Brazil,23.34,70.73448
15,Belgium,23.34,29.90175
16,Ghana,23.34,96.30129
17,USA,23.12,78.43122
18,Mexico,23.12,33.56589
19,India,23.12,14.93531
20,China,23.12,17.30461
21,Brazil,23.12,75.43418
22,Belgium,23.12,79.64098
23,Ghana,23.12,46.40015
24,USA,23.67,50.99462
25,Mexico,23.67,42.57932
26,India,23.67,78.72561
27,China,23.67,82.63618
28,Brazil,23.67,85.59355
29,Belgium,23.67,29.70051
30,Ghana,23.67,93.78633
31,USA,23.95,15.48497
32,Mexico,23.95,52.13052
33,India,23.95,40.23667
34,China,23.95,47.06039
35,Brazil,23.95,29.59476
36,Belgium,23.95,67.21487
,Ghana,23.95,42.32608
