Variety,Variety_Type,Pesticide,Pesticide_Type,Dose_Rate (g/L),Blast_Severity (%),Yield (kg/ha),Leaf_Area_Index,Tillers_per_Plant,Grain_Weight (g),Straw_Yield (kg/ha),Soil_pH,Soil_Moisture (%),Temperature (°C),Humidity (%),Rainfall (mm),Disease_Incidence (%),Plant_Height (cm),Root_Length (cm),Chlorophyll_Content (SPAD)
MTU1010,0,Pseudomonas,2,low,25.00337971,4067.308809,3.216082559,19,35.68026841,6339.568103,6.838470484,73.19069915,25.50264675,78.8149861,62.42320697,42.90067102,131.4166789,26.41729422,57.61366795
Swarna,0,Chemical_A,2,medium,16.23688205,3296.559464,3.612784542,19,21.47953589,4765.974616,5.76573184,70.69895177,33.9329104,50.93180102,183.0444459,59.53086522,127.9192143,36.37925145,48.09092163
BR11,0,Chemical_A,2,high,68.01162564,4624.089532,5.998331748,23,15.59288013,4956.357425,7.082252309,74.24532159,27.03404754,85.80269442,128.9605762,5.079478405,137.3683354,16.57038281,52.26756738
MTU1010,1,Trichoderma,1,low,24.48091301,5182.249885,4.533996316,14,36.32977118,5736.141298,7.180122545,67.10158919,32.34652418,81.97429091,149.3355449,14.31890863,125.1845011,33.40889628,36.91839214
Pusa44,1,Pseudomonas,2,medium,20.76579097,3132.09556,4.165767889,22,39.42709801,5679.743875,6.099785999,68.41188901,27.08920841,83.48894225,149.2355462,54.56307692,134.5879477,37.82138936,45.45466876
IR64,0,Chemical_A,1,high,33.59210807,6307.420976,2.414542183,12,27.67976134,6903.244469,7.151389644,55.70876025,33.09639311,76.19609386,249.687374,15.80377851,96.34903974,24.26147574,54.38977615
BR11,0,Trichoderma,1,low,19.86469575,4784.763975,4.837480825,18,23.39186685,5205.73285,6.00092225,53.44503671,23.98322558,86.88763318,242.4747804,15.86707444,124.7375363,24.87494284,57.96322054
IR64,1,Chemical_A,1,medium,52.92303092,3537.778609,4.324456702,20,30.86014655,6650.424851,7.229535842,78.23973559,33.63900286,67.00594162,156.7688557,53.44733585,136.5041218,11.92493043,54.39206221
MTU1010,0,Chemical_B,2,high,10.65298154,5463.980832,2.933815839,7,18.97449792,6276.385311,5.832828124,83.92776953,20.50558777,62.84723945,153.3311981,29.48503413,128.2693817,23.78560695,42.12534743
MTU1010,0,Chemical_B,2,low,94.89850267,6576.219669,4.723820729,22,35.91210589,6329.852421,7.215473315,67.17565306,23.67075705,57.11946518,64.56036006,10.45403172,111.4555422,13.88335065,54.20506669
BR11,1,Trichoderma,1,medium,35.87199496,3344.944999,4.600925729,8,19.64952209,8409.095501,6.591418485,55.71022783,24.25256199,81.35926077,147.9404593,46.94550664,105.0076878,37.31150422,31.54621714
BR11,0,Pseudomonas,2,high,16.7370684,3348.528711,6.671997652,14,17.95160079,5955.098527,5.920119513,84.83963412,28.27663591,68.02971146,50.1976562,63.82822511,132.0822719,28.78941755,41.88732477
Swarna,0,Chemical_A,1,low,8.309238559,3140.435791,6.415179317,17,18.11437917,5641.078272,7.091386938,73.01765401,30.72024315,55.8880405,86.74273099,58.598309,118.6061516,33.05020702,40.67688091
IR64,1,Pseudomonas,2,medium,67.08229999,3749.273906,2.196023531,15,26.32128899,5645.457797,6.429592402,89.15828725,30.27752261,60.49196555,121.3342744,47.279671,85.72049793,16.21750541,43.26824596
MTU1010,0,Trichoderma,2,high,57.10081351,4480.394115,2.503874193,5,34.2551542,5379.138291,6.58100334,64.55421602,30.17509034,57.13127266,54.18028931,25.7118785,109.4274967,30.13384034,59.57409637
Pusa44,0,Pseudomonas,1,low,61.03050176,3063.873241,4.219854703,9,22.77414098,4018.832809,6.8338261,66.69771732,30.85790246,84.11568485,261.0625863,36.11459314,101.4293792,18.91149539,34.95530581
MTU1010,0,Chemical_B,2,medium,76.78670912,4005.993414,5.23040742,18,22.59176438,6524.026997,7.472669056,58.6296378,27.87524448,69.34401111,214.2304508,15.64601503,136.4939329,35.05449275,46.83982406
IR64,1,Chemical_A,2,high,8.502550348,4931.700726,3.69726113,19,33.06658079,6403.651294,5.900962497,70.59313749,30.23837869,75.0645554,60.66119416,17.79633575,92.25672496,26.79846575,33.51009186
BR11,0,Pseudomonas,2,low,33.68889696,5711.83605,4.856722324,6,23.73692671,8847.16024,5.767115824,80.75831147,30.63506491,56.38797357,178.2872827,28.9513697,115.4738416,17.42677727,56.57257522
IR64,1,Chemical_B,1,medium,17.3864008,4326.052026,2.282149212,19,26.65024217,6010.786267,5.917823453,81.69263428,25.03654654,64.83309548,93.77155638,68.46345647,110.1920308,14.46924965,38.037783
Pusa44,0,Trichoderma,2,high,47.32038515,5822.672451,2.425741014,12,16.46800204,6065.672628,6.166173909,85.49207638,29.1149006,63.88411276,289.4796333,41.06760152,102.5355087,17.04956556,59.82449976
BR11,0,Chemical_A,1,low,42.9046951,6489.41555,6.79549362,21,20.53881952,8773.086017,7.263066503,75.88722302,29.32144602,70.83735444,227.5311642,43.18088552,121.0979777,25.79477922,45.09812617
Pusa44,0,Chemical_B,1,medium,26.53028939,6420.79786,4.094214201,24,17.85413776,6098.995446,5.900280898,73.28775003,28.68184131,65.44921253,259.6221861,47.25982984,124.962096,38.31437402,51.51005975
MTU1010,1,Trichoderma,1,high,8.091487331,5553.335917,4.830419852,18,24.47610841,5403.10346,6.559274009,68.46220103,20.38220723,77.97166709,252.7628518,13.01699616,118.7390216,20.51078537,42.85974391
BR11,1,Pseudomonas,1,low,25.41501002,4185.344444,2.602795425,23,22.56394059,5460.313564,6.449346634,57.24278622,22.05235974,52.8814345,122.1389099,36.51821045,134.6161448,25.15227918,48.92934921
