Variety,Variety_Type,Pesticide,Pesticide_Type,Dose_Rate (g/L),Blast_Severity (%),Yield (kg/ha),Leaf_Area_Index,Tillers_per_Plant,Grain_Weight (g),Straw_Yield (kg/ha),Soil_pH,Soil_Moisture (%),Temperature (°C),Humidity (%),Rainfall (mm),Disease_Incidence (%),Plant_Height (cm),Root_Length (cm),Chlorophyll_Content (SPAD)
Swarna,0,Chemical_A,2,medium,34,8000,3.612784542,19,21.47953589,4765.974616,5.76573184,70.69895177,33.9329104,50.93180102,183.0444459,11.30282256,127.9192143,36.37925145,48.09092163
Swarna,0,Chemical_A,1,low,34,7600,6.415179317,17,18.11437917,5641.078272,7.091386938,73.01765401,30.72024315,55.8880405,86.74273099,11.92646187,118.6061516,33.05020702,40.67688091
Swarna,1,Chemical_B,1,low,13.13205747,7200,4.679219481,7,19.18287592,6538.900539,5.762912943,63.10986703,29.12331851,61.8129969,255.2222874,37.32011944,90.3566748,32.51543594,50.88012809
Swarna,0,Pseudomonas,1,low,16.52097553,6800,5.454056166,24,27.99033894,8475.315024,5.725236148,66.08131736,26.88062154,86.91704509,90.49323862,71.58828701,87.30944001,19.99674193,43.40486249
Swarna,1,Chemical_B,1,high,57,6400,4.292299384,21,16.3766237,4796.731519,7.437797449,82.05857092,23.59496903,77.31093673,195.8021416,77.21295219,132.9381986,31.36045341,41.83793473
Swarna,0,Chemical_B,1,high,37,6000,6.426741474,13,16.98377578,7892.914513,6.675359007,51.59992351,23.32658478,80.1708277,98.47613802,74.80709162,107.5392365,36.2445912,35.39670898
Swarna,1,Trichoderma,2,high,34,5600,6.352733716,13,39.72209044,4861.048559,6.095450226,56.22856263,23.0907353,65.70240323,175.9422907,51.80079053,98.2719022,18.69237702,53.59823887
Swarna,1,Chemical_A,1,low,49,5200,6.716296053,18,21.72011335,5215.835683,6.667884508,54.47463396,21.6523377,79.63400807,226.1712919,45.35043137,83.89845854,27.15913185,50.91611355
Swarna,1,Trichoderma,2,medium,73.10616376,4800,2.161556208,16,33.87969111,4591.378524,6.307405173,51.46384242,32.79255986,84.3623588,258.1636512,16.71129241,117.0979448,33.96098258,39.69263948
Swarna,0,Pseudomonas,2,medium,80.50931958,4400,5.364452876,14,31.2484816,5455.108368,6.637359978,76.84368576,23.15633025,88.71449469,178.9877822,58.22532136,130.3279698,17.12227067,58.15774142
Swarna,1,Pseudomonas,2,high,87.9124754,4000,6.029202286,14,15.09141299,6908.87793,5.702672998,67.1739744,25.93389293,56.73685449,60.91939271,67.60849976,80.38131037,32.13560595,31.65401513
Swarna,1,Pseudomonas,2,low,95.31563123,3600,3.043413521,17,17.93289204,5356.044789,7.135003151,81.49344358,33.15770357,56.053384,255.8462294,29.80463901,83.0664665,23.34626024,39.48779604
Swarna,0,Trichoderma,1,medium,47.02123806,3200,5.820267172,14,28.51339171,6630.208961,6.379406438,55.0347892,26.43360633,67.87563949,216.0235562,38.69131676,129.1730333,26.67600185,57.17643077
Swarna,0,Pseudomonas,2,medium,56,2800,6.461558327,17,30.78161763,7769.348145,6.020575304,62.28713722,25.78996386,59.62637109,72.00458184,39.51208776,92.4060419,13.22187709,50.79982392
Swarna,0,Pseudomonas,2,high,100,2400,4.278305569,16,30.91608274,4521.395448,6.43065772,58.2631345,24.49006759,73.41298263,117.5177629,42.36554454,103.6703862,17.20647525,52.0565581
Swarna,0,Chemical_B,1,low,34,2000,2.927532568,22,22.73196408,7182.397697,6.251459261,67.10396066,25.61247944,86.8849022,279.7727502,117.7033646,84.49907374,13.71129841,46.17631652
Pusa44,1,Pseudomonas,2,medium,52,5562.967847,4.165767889,22,39.42709801,5679.743875,6.099785999,68.41188901,27.08920841,83.48894225,149.2355462,19.15991708,134.5879477,37.82138936,45.45466876
Pusa44,0,Pseudomonas,1,low,44.60916765,5894.527651,4.219854703,9,22.77414098,4018.832809,6.8338261,66.69771732,30.85790246,84.11568485,261.0625863,86.4362607,101.4293792,18.91149539,34.95530581
Pusa44,0,Trichoderma,2,high,42.18495845,6131.436048,2.425741014,12,16.46800204,6065.672628,6.166173909,85.49207638,29.1149006,63.88411276,289.4796333,41.3702962,102.5355087,17.04956556,59.82449976
Pusa44,0,Chemical_B,1,medium,39,5763.044676,4.094214201,24,17.85413776,6098.995446,5.900280898,73.28775003,28.68184131,65.44921253,259.6221861,29.86802596,124.962096,38.31437402,51.51005975
Pusa44,1,Pseudomonas,2,medium,42.44825026,5605.204395,5.961725775,13,24.03986557,6400.415013,7.466378284,76.29811092,21.24044449,86.85987664,156.1147035,28.13077579,84.36221702,17.63782829,59.52679437
Pusa44,1,Trichoderma,1,medium,41.89227256,5681.809888,5.948721602,17,35.86722017,6349.236257,5.94704816,64.85085884,26.9221836,63.15998443,82.13948761,55.74062279,88.56372772,19.25388689,38.14480621
Pusa44,1,Chemical_A,1,low,34,6062.469481,5.62925439,21,16.30376855,7889.997815,6.704815854,89.97017619,23.65716829,59.66609221,88.81544208,51.83954424,120.0017418,30.85414444,53.06724329
Pusa44,0,Chemical_B,1,low,42.27163782,5888.868924,3.989511423,24,32.57523597,8541.460562,7.498333367,50.55659187,20.62804621,61.59052703,117.4310354,17.5823355,103.1198002,20.45841784,32.13069736
Pusa44,1,Chemical_A,2,medium,30.45552094,6276.207418,3.662089573,22,31.12825007,4726.784896,6.633769865,84.14021596,23.24965432,85.83125283,292.8900253,75.41568155,111.0742623,32.40249022,32.29304373
Pusa44,1,Chemical_B,2,low,36,5317.66271,4.244320059,8,34.48622813,8815.48029,5.838721711,56.76159205,28.74249598,80.83263693,81.67024518,55.81964897,86.40197442,28.32994764,38.73617381
Pusa44,1,Chemical_A,2,low,39,5504.890946,4.79832363,7,23.70698812,6474.233988,5.53586136,83.37160356,23.54967146,72.73105673,191.2679435,60.72464313,132.1577094,37.69502043,36.59802992
Pusa44,1,Trichoderma,2,medium,42.2857169,6279.129426,5.92815118,11,18.34296532,5158.886837,7.240800811,81.97316683,28.95395643,63.89162775,113.183288,47.76527379,95.72008989,25.93213357,54.39487236
Pusa44,1,Trichoderma,1,medium,45.99608281,5491.645077,2.7478592,19,19.80583225,4446.566753,6.46781675,63.80017054,24.81189212,70.10423681,101.8990367,104.0675341,88.18753189,11.0984989,40.9819233
Pusa44,0,Chemical_A,1,medium,42.90109664,6584.566858,6.498373237,7,20.59109977,6684.788662,6.46626292,57.46290221,31.83768849,62.32572083,170.3330016,85.62235776,95.09114399,14.02533714,39.31623294
Pusa44,0,Chemical_A,1,low,41,6595.161651,2.237453324,10,23.41705557,6259.516767,6.606700162,74.97255042,22.59306409,81.26853039,77.17996381,36.33357998,118.9693248,16.41583499,50.17745677
Pusa44,0,Chemical_A,2,high,45,6588.721875,3.792552672,19,22.28140088,8448.990317,6.974424472,74.257162,21.80709618,65.09815127,287.605233,8.070616955,80.66941638,24.0305471,48.66436075
Pusa44,1,Chemical_B,2,medium,39.01611714,5452.238589,5.330118003,13,26.41831337,7432.957561,6.155967304,79.74632013,28.52849287,77.52240216,58.85248569,25.18215562,126.2150369,24.356303,42.82122824
Pusa44,0,Chemical_B,1,low,60,5931.006473,6.590800798,18,37.39051401,6740.459305,6.26197602,87.50703276,27.29003385,79.06469717,64.68824265,49.29928904,110.989548,19.97586506,42.41904085
